timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1576584149719,921,getChargingStations Request,200,OK,Thread Group 1-18,text,true,,444571,266,1,1,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,627,0,62
1576584150641,683,getChargingStations Request,200,OK,Thread Group 1-18,text,true,,444571,266,1,1,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,617,0,22
1576584151325,597,getChargingStations Request,200,OK,Thread Group 1-18,text,true,,444571,266,1,1,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,528,0,22
1576584151923,708,getChargingStations Request,200,OK,Thread Group 1-18,text,true,,444571,266,1,1,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,520,0,25
1576584152632,691,getChargingStations Request,200,OK,Thread Group 1-18,text,true,,444571,266,1,1,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,577,0,22
1576584153324,915,getChargingStations Request,200,OK,Thread Group 1-18,text,true,,444571,266,1,1,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,726,0,119
1576584154239,643,getChargingStations Request,200,OK,Thread Group 1-18,text,true,,444571,266,1,1,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,580,0,23
1576584154883,770,getChargingStations Request,200,OK,Thread Group 1-18,text,true,,444571,266,1,1,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,631,0,30
1576584155654,664,getChargingStations Request,200,OK,Thread Group 1-18,text,true,,444571,266,1,1,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,529,0,43
1576584156319,736,getChargingStations Request,200,OK,Thread Group 1-18,text,true,,444571,266,1,1,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,577,0,60
1576584157056,704,getChargingStations Request,200,OK,Thread Group 1-18,text,true,,444571,266,1,1,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,492,0,26
1576584157773,682,getChargingStations Request,200,OK,Thread Group 1-18,text,true,,444571,266,1,1,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,614,0,29
1576584158457,678,getChargingStations Request,200,OK,Thread Group 1-18,text,true,,444571,266,1,1,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,577,0,26
1576584159136,729,getChargingStations Request,200,OK,Thread Group 1-18,text,true,,444571,266,1,1,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,582,0,29
1576584159867,803,getChargingStations Request,200,OK,Thread Group 1-18,text,true,,444571,266,1,1,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,720,0,76
1576584160671,714,getChargingStations Request,200,OK,Thread Group 1-18,text,true,,444571,266,1,1,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,634,0,57
1576584161386,631,getChargingStations Request,200,OK,Thread Group 1-18,text,true,,444571,266,1,1,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,577,0,22
1576584162017,671,getChargingStations Request,200,OK,Thread Group 1-18,text,true,,444571,266,1,1,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,539,0,32
1576584162688,1086,getChargingStations Request,200,OK,Thread Group 1-18,text,true,,444571,266,1,1,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,722,0,88
1576584163775,734,getChargingStations Request,200,OK,Thread Group 1-18,text,true,,444571,266,1,1,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,667,0,25
